drug_name	ATC_3
fluprednidene	D07C
antibiotics	D07C
fentonium	A03B
obiltoxaximab	J06B
trifarotene	D10A
metformin	A10B
saxagliptin	A10B
calcitriol	D05A
antiinfectives	S02A
cefotaxime	J01D
beta-lactamase inhibitor	J01D
fosravuconazole	D01B
pazufloxacin	J01M
ridaforolimus	L01E
tibezonium iodide	A01A
flibanserin	G02C
etilefrine	C01C
technetium (99mTc) sulesomab	V09H
glucarpidase	V03A
oxaceprol	M01A
resorcinol	S01A
carbasalate calcium	B01A
boceprevir	J05A
flunarizine	N07C
aluminium clofibrate	C10A
codeine with psycholeptics	N02A
lomitapide	C10A
emtricitabine	J05A
tenofovir alafenamide	J05A
pretomanid	J04A
hydrocortisone	S01C
benzoctamine	N05B
aminophylline	R03D
mexazolam	N05B
cyanocobalamin	B03B
sufentanil	N01A
oxycodone	N02A
paracetamol	N02A
propacetamol	N02B
larotrectinib	L01E
topical antibiotic combinations	D01A
doxycycline	J01A
yttrium (90Y) citrate colloid	V10A
pivagabine	N06A
barbiturates in combination with other drugs	N05C
rimexolone	H02A
desonide	S01B
dezocine	N02A
mersalyl	C03B
adefovir dipivoxil	J05A
ivabradine	C01E
trastuzumab deruxtecan	L01F
nifurzide	A07A
abametapir	P03A
dextranomer	D03A
tetrabenazine	N07X
anti-D (rh) immunoglobulin	J06B
budesonide	R03B
testosterone	G03E
estrogen	G03E
piritramide	N02A
influenza virus	J07B
serum gonadotrophin	G03G
etanautine	N04A
fluostigmine	S01E
favipiravir	J05A
chlorpromazine	N05A
thebacon	R05D
cyproheptadine	R06A
trypsin	B06A
artemisinin	P01B
naphthoquine	P01B
polymyxin B	J01X
guacetisal	N02B
fluoroethylcholine (18F)	V09I
haloprogin	D01A
sulfadicramide	S01A
epomediol	A05B
medicinal charcoal	A07B
reserpine	C02A
ethambutol	J04A
verapamil	C08D
niaprazine	N05C
metoprolol	C07F
amlodipine	C07F
lamivudine disoproxil	J05A
efavirenz	J05A
lansoprazole	A02B
fedrilate	R05D
cromoglicic acid	S01G
dalbavancin	J01X
iloperidone	N05A
amprenavir	J05A
potassium (different salts in combination)	A12B
plitidepsin	L01X
nicofetamide	A03A
cefazedone	J01D
lormetazepam	N05C
fluocinolone acetonide	D07B
antiseptics	D07B
buprenorphine	N02A
ergotamine	N02C
iodixanol	V08A
oil ingredients	A06A
methylpropylpropanediol dinitrate	C01D
gedocarnil	N05B
clofazimine	J04B
fenticonazole	D01A
combinations of xanthines	R03D
docusate sodium	A06A
metreleptin	A16A
tilactase	A09A
formoterol	R03C
vasopressin (argipressin)	H01B
brompheniramine	R06A
kanamycin	A07A
tamsulosin	G04C
dutasteride	G04C
metronidazole	D06B
alclometasone	D07A
thiram	P03A
finerenone	C03D
cafedrine	C01C
nifedipine	C08G
diuretics	C08G
anthrax antigen	J07A
Betulae cortex	D03A
trepibutone	A03A
fusidic acid	S01A
cannabidiol	N03A
inosine pranobex	J05A
aflibercept	S01L
heparinoid	C05B
trametinib	L01E
benzalkonium	D08A
aciclovir	D06B
piroxicam	S01B
expectorant combinations. combinations with cough suppressants	R05C
calcium hexamine thiocyanate	R01A
prednisolone	R01A
varicella attenuated	J07B
triamcinolone	R01A
droxidopa	C01C
hydrocortisone	A01A
papaveretum	N02A
loratadine	R06A
chenodeoxycholic acid	A05A
amfepramone	A08A
tolcapone	N04B
lomefloxacin	S01A
benazepril	C09A
nikethamide	R07A
cromoglicic acid	R01A
polatuzumab vedotin	L01F
donepezil	N06D
von Willebrand factor	B02B
guaiazulen	S01X
adrafinil	N06B
thiopental	N05C
technetium (99mTc) teboroxime	V09G
phenylephrine	S01G
budesonide	A07E
gentamicin	S02A
moxetumomab pasudotox	L01F
saxagliptin	A10B
dapagliflozin	A10B
fluticasone	R01A
technetium (99mTc) antiCarcinoEmbryonicAntigen antibody	V09I
mifepristone	G03X
pinaverium	A03A
cefoperazone	J01D
beta-lactamase inhibitor	J01D
penicillamine	M01C
isopropamide	A03A
calcium lactate gluconate	A12A
choline theophyllinate	R03D
adrenergics	R03D
sodium salicylate	N02B
ipratropium bromide	R03B
nomifensine	N06A
almotriptan	N02C
cefodizime	J01D
sunitinib	L01E
chlorzoxazone	M03B
zidovudine	J05A
clomifene	G03G
tramadol	N02A
celecoxib	N02A
quetiapine	N05A
tenofovir disoproxil	J05A
mercaptamine	S01X
glucose	V06D
combinations of barbiturates	N05C
calcium aminosalicylate	J04A
ciprofloxacin	J01M
thyrotropin alfa	H01A
amrubicin	L01D
gadoxetic acid	V08C
amphotericin B	J02A
prednylidene	H02A
magnesium peroxide	A06A
bromochlorosalicylanilide	D01A
atazanavir	J05A
cobicistat	J05A
fleroxacin	J01M
amifampridine	N07X
valsartan	C09D
sacubitril	C09D
furosemide	C03C
norgestrel	G03F
estrogen	G03F
Sabalis serrulatae fructus	G04C
aluminium chlorohydrate	M05B
bromelains	D03B
kanamycin	S01A
cabozantinib	L01E
trimegestone	G03F
estrogen	G03F
ronifibrate	C10A
pipotiazine	N05A
typhoid polysaccharide antigen	J07A
delavirdine	J05A
aliskiren	C09X
hydrochlorothiazide	C09X
prazosin	C02C
sodium perborate	A01A
omalizumab	R03D
opium alkaloids with morphine	R05D
tetracaine	N01B
butalamine	C04A
chloramphenicol	D10A
carvedilol	C07F
ivabradine	C07F
metoprolol	C07F
felodipine	C07F
camazepam	N05B
betamethasone	D07C
antibiotics	D07C
clomethiazole	N05C
clobutinol	R05D
ketoconazole	J02A
neratinib	L01E
rimazolium	N02B
"fructose 1,6-diphosphate"	C01E
levoverbenone	R05C
covid-19 vaccines	J07B
colestipol	C10A
botulinum antitoxin	J06A
combinations of corticosteroids	D07A
dexamethasone	S01B
atosiban	G02C
technetium (99mTc) microcolloid	V09D
loprazolam	N05C
oliceridine	N02A
baclofen	M03B
fenetylline	N06B
ethadione	N03A
cyclizine	R06A
penciclovir	J05A
tenidap	M01A
bibrocathol	S01A
mipomersen	C10A
nifedipine	C08C
diosmin	C05C
fluorometholone	S01B
dabrafenib	L01E
ziconotide	N02B
necitumumab	L01F
bezlotoxumab	J06B
perflubron	V08C
procaine benzylpenicillin	J01C
cadralazine	C02D
allylestrenol	G03D
ipilimumab	L01F
oxybuprocaine	D04A
oxaprozin	M01A
risdiplam	M09A
pentaerithrityl	A06A
fludrocortisone	S03C
antiinfectives	S03C
oxiracetam	N06B
ritiometan	R01A
gallium (68Ga) edotreotide	V09I
pyridoxine (vit B6)	A11H
pheneturide	N03A
triamcinolone	D07X
glycerol phenylbutyrate	A16A
linaclotide	A06A
nizatidine	A02B
dihydroergocryptine mesylate	N04B
patiromer calcium	V03A
chloroprednisone	S01C
antiinfectives	S01C
suxibuzone	M02A
carisbamate	N03A
tocofersolan	A11H
amobarbital	N05C
darunavir	J05A
ritonavir	J05A
tigecycline	J01A
alfuzosin	G04C
finasteride	G04C
gefapixant	R05D
carfecillin	G01A
tralokinumab	D11A
chlorhexidine	S03A
sodium edetate	S01X
gemigliptin	A10B
rosuvastatin	A10B
milrinone	C01C
methyltestosterone	G03E
perhexiline	C08E
vadadustat	B03X
zuclopenthixol	N05A
becaplermin	A01A
dolutegravir	J05A
encephalitis borne virus	J07B
alverine	A03A
deutetrabenazine	N07X
iodine (125I) human albumin	V09G
cetrimide	D11A
thiamazole	H03B
immunoglobulins human extravascular adm.	J06B
daratumumab	L01F
acetyldigoxin	C01A
vinylbital	N05C
miconazole	D01A
imipenem	J01D
cilastatin	J01D
pegcetacoplan	L04A
methylthiouracil	H03B
trihexyphenidyl	N04A
dihydroergocristine	C04A
opium alkaloids	R05D
derivative combination cough suppressants	R05D
terfenadine	R06A
epinastine	S01G
flucytosine	D01A
vilazodone	N06A
naldemedine	A06A
mesna	R05C
triamcinolone	S02C
antiinfectives	S02C
ethanol	V03A
zaleplon	N05C
phenylpropanolamine	R01B
neomycin	S01A
mephentermine	C01C
suramin sodium	P01C
metformin	A10B
empagliflozin	A10B
hydromorphone	N02A
antispasmodics	N02A
poliomyelitis oral attenuated	J07B
hetacillin	J01C
sodium iodohippurate (131I)	V09C
flurbiprofen	S01B
mequinol	D11A
naltrexone	N07B
fenoterol	R03C
sodium phosphate	B05X
hexobendine	C01D
simvastatin acid	C10B
ramipril	C10B
belladonna total alkaloids	A03B
abarelix	L02B
bromides	N05C
hyaluronic acid	S01K
picloxydine	S01A
meclofenoxate	N06B
abemaciclib	L01E
linseed	A06A
veratrum	C02L
diuretics	C02L
tacrolimus	D11A
ferrous succinate	B03A
piperidione	R05D
methylprednisolone	D07C
antibiotics	D07C
emylcamate	N05B
clevudine	J05A
pleconaril	J05A
clarithromycin	J01F
arbutamine	C01C
indometacin	S01B
tamsulosin	G04C
solifenacin	G04C
